routeId,Id,tripId,tripHeadsign,shapeId
10,8303,NORMAL_10_Swargate To Keshavnagar_Up-0545_0,Swargate To Keshavnagar,3380
100_18,1174,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-1310_0,Ma Na Pa to Hinjawadi Maan Phase 3,4475
101,20137,NORMAL_101_Kothrud Depot To Kondhwa Kh_Up-0600_0,Kothrud Depot To Kondhwa Kh,4953
102,20173,NORMAL_102_Kothrud Depot To Lohgaon_Up-0520_0,Kothrud Depot To Lohgaon,3392
103,11254,NORMAL_103_Kothrud Depot To Katraj_Down-0545_0,Kothrud Depot To Katraj,3479
103M,8031,NORMAL_103M_Katraj To MIT College_Up-1635_0,Katraj To MIT College,3806
104,17871,NORMAL_104_Deccan Gymkhana To DSK Vishwa_Up-0530_0,Deccan Gymkhana To DSK Vishwa,3427
105,13149,NORMAL_105_Balewadi Depot To Deccan Gymkhana_Down-0830_0,Balewadi Depot To Deccan Gymkhana,3433
106,17221,NORMAL_106_Kothrud Depot To Dhayari Maruti Mandir_Up-0600_0,Kothrud Depot To Dhayari Maruti Mandir,4200
107,10639,NORMAL_107_Gharkul Vasahat Warje To Pimplegurav_Down-0530_0,Gharkul Vasahat Warje To Pimplegurav,3197
108,13338,NORMAL_108_Sutardara To Pune Station_Up-0730_0,Sutardara To Pune Station,3486
109,17893,NORMAL_109_Ma Na Pa To Ma Na Pa_Round-0600_0,Ma Na Pa To Ma Na Pa,3488
11,1393,NORMAL_11_Pimplegurav To Marketyard_Down-1805_0,Pimplegurav To Marketyard,2924
110,17959,NORMAL_110_Ma Na Pa To Ma Na Pa_Round-0610_0,Ma Na Pa To Ma Na Pa,3489
111,11534,NORMAL_111_Bhekrainagar To Ma Na Pa_Up-0535_0,Bhekrainagar To Ma Na Pa,3492
113,11472,NORMAL_113_Mandai Stand To Vasantdada Putala Sangvi Mandai Stand_Round-0520_0,Mandai Stand To Vasantdada Putala Sangvi Mandai Stand,3252
114,201,NORMAL_114_Ma Na Pa To Mhalungegaon_Up-0720_0,Ma Na Pa To Mhalungegaon,3500
115P_90,629,NORMAL_115P_Hinjawadi Phase 3 to Pune Station_Down-1450_0,Hinjawadi Phase 3 to Pune Station,3277
116,19839,NORMAL_116_Ma Na Pa To Khadki Bazar_Up-0720_0,Ma Na Pa To Khadki Bazar,3501
117,10591,NORMAL_117_Swargate To Dhayari Maruti Mandir_Up-0535_0,Swargate To Dhayari Maruti Mandir,3503
117A,16106,NORMAL_117A_Swargate To DSK Vishwa_Up-2045_0,Swargate To DSK Vishwa,3795
117B,15906,NORMAL_117B_Swargate To Shree Control_Up-1645_0,Swargate To Shree Control,3799
117C,15309,NORMAL_117C_Swargate To Raykarmala_Up-0920_0,Swargate To Raykarmala,3802
118,10912,NORMAL_118_Swargate To Venutai Chavan College_Up-0545_0,Swargate To Venutai Chavan College,3506
118B,5361,NORMAL_118B_Swargate To Vadgaon Bk_Up-0555_0,Swargate To Vadgaon Bk,3793
119,824,NORMAL_119_Ma Na Pa To Alandi_Up-0710_0,Ma Na Pa To Alandi,3375
12,10499,NORMAL_12_Upper Depot To Bhakti Shakti_Up-0525_0,Upper Depot To Bhakti Shakti,4834
120,16288,NORMAL_120_Ma Na Pa To Indoorance System Chakan Mhalunge_Up-0540_0,Ma Na Pa To Indoorance System Chakan Mhalunge,4861
121,18125,NORMAL_121_Bhosari Terminal To Ma Na Pa_Down-0510_0,Bhosari Terminal To Ma Na Pa,4823
122,3838,NORMAL_122_Chinchwadgaon To Ma Na Pa_Down-0520_0,Chinchwadgaon To Ma Na Pa,4818
122B,4724,NORMAL_122B_Chinchwadgaon To Nehrunagar Depo_Down-2200_0,Chinchwadgaon To Nehrunagar Depo,3788
123,18301,NORMAL_123_Ma Na Pa To Bhakti Shakti_Up-0550_0,Ma Na Pa To Bhakti Shakti,4735
125,1086,NORMAL_125_Bopkhel To Vasantdada Putala Sangvi_Up-0605_0,Bopkhel To Vasantdada Putala Sangvi,5104
126,2101,NORMAL_126_Pimplenilakh To Vishrantwadi_Down-0725_0,Pimplenilakh To Vishrantwadi,3540
